	logFC	logCPM	LR	PValue	FDR
YCR031C	-2.62977383020442	9.15715163545964	424.895295025713	2.0986591850381e-94	5.03840263033471e-93
YDR450W	-3.00730402621919	9.90614651941996	424.642571641486	2.38203805888868e-94	5.6967356346807e-93
YNL062C	-2.48188901172024	6.3455023302985	424.287877935058	2.84544414130984e-94	6.77891634891362e-93
YOR340C	-3.07166222739503	6.90011832036684	424.275207884227	2.86356987744234e-94	6.7960601137162e-93
YOR309C	-2.93434571969991	6.26238062515833	422.088649464571	8.56701767553155e-94	2.02546448313518e-92
YBR213W	2.40004027209276	5.98725489237268	422.0310903586	8.81775319822212e-94	2.07684808282368e-92
YPL229W	1.96766020199302	6.06543223784164	421.869913425927	9.55959784806673e-94	2.24307846865204e-92
YIL164C	3.48804232567233	7.94317394442326	420.989279249614	1.48634126395193e-93	3.47446239821545e-92
YIL099W	3.7927199995939	4.94331310814217	420.136940728403	2.27845003161224e-93	5.29602283809359e-92
YIR029W	2.36057258208242	6.72599922998872	420.133290949195	2.28262161564664e-93	5.29602283809359e-92
YLR155C	2.77746707145289	9.16767904979284	419.876265309615	2.59644180991749e-93	6.00173798292451e-92
YLR157C	2.77746708611852	9.16767904979284	419.666569726703	2.88417345630551e-93	6.64214464863246e-92
YLR160C	2.77746708765716	9.16767904979284	419.644569573011	2.91615080005494e-93	6.69100578403749e-92
YFL030W	2.79704889911006	6.77362866732135	419.576494668366	3.0173613204283e-93	6.89777672442029e-92
